Index,CorrectedValue
654,756.7767
655,757.9365
656,759.0963
657,760.2562
658,761.4160
659,762.5758
660,763.7356
661,764.8954
662,766.0552
663,767.2150
664,768.3748
665,769.5346
666,770.6944
667,771.8542
668,773.0140
669,774.1738
670,775.3335
671,776.4933
672,777.6531
673,778.8128
674,779.9726
675,781.1323
676,782.2920
677,783.4518
678,784.6115
679,785.7712
680,786.9310
681,788.0907
682,789.2504
683,790.4101
684,791.5698
685,792.7295
686,793.8892
687,795.0489
688,796.2086
689,797.3683
690,798.5279
691,799.6876
692,800.8473
693,802.0070
694,803.1666
695,804.3263
696,805.4859
697,806.6456
698,807.8052
699,808.9648
700,810.1245
701,811.2841
702,812.4437
703,813.6033
704,814.7630
705,815.9226
706,817.0822
707,818.2418
708,819.4014
709,820.5610
710,821.7206
711,822.8801
712,824.0397
713,825.1993
714,826.3589
715,827.5184
716,828.6780
717,829.8375
718,830.9971
719,832.1566
720,833.3162
721,834.4757
722,835.6352
723,836.7948
724,837.9543
725,839.1138
726,840.2733
727,841.4328
728,842.5923
729,843.7518
730,844.9113
731,846.0708
732,847.2303
733,848.3898
734,849.5493
735,850.7088
736,851.8682
737,853.0277
738,854.1871
739,855.3466
740,856.5061
741,857.6655
742,858.8249
743,859.9844
744,861.1438
745,862.3032
746,863.4627
747,864.6221
748,865.7815
749,866.9409
750,868.1003
751,869.2597
752,870.4191
753,871.5785
754,872.7379
755,873.8973
756,875.0566
757,876.2160
758,877.3754
759,878.5347
760,879.6941
761,880.8535
762,882.0128
763,883.1722
764,884.3315
765,885.4908
766,886.6502
767,887.8095
768,888.9688
769,890.1281
770,891.2874
771,892.4467
772,893.6061
773,894.7654
774,895.9246
775,897.0839
776,898.2432
777,899.4025
778,900.5618
779,901.7210
780,902.8803
781,904.0396
782,905.1988
783,906.3581
784,907.5173
785,908.6766
786,909.8358
787,910.9950
788,912.1543
789,913.3135
790,914.4727
791,915.6319
792,916.7911
793,917.9504
794,919.1096
795,920.2687
796,921.4279
797,922.5871
798,923.7463
799,924.9055
800,926.0647
801,927.2238
802,928.3830
803,929.5421
804,930.7013
805,931.8605
806,933.0196
807,934.1787
808,935.3379
809,936.4970
810,937.6561
811,938.8152
812,939.9744
813,941.1335
814,942.2926
815,943.4517
816,944.6108
817,945.7699
818,946.9290
819,948.0880
820,949.2471
821,950.4062
822,951.5652
823,952.7243
824,953.8834
825,955.0424
826,956.2015
827,957.3605
828,958.5196
829,959.6786
830,960.8376
831,961.9966
832,963.1557
833,964.3147
834,965.4737
835,966.6327
836,967.7917
837,968.9507
838,970.1097
839,971.2686
840,972.4276
841,973.5866
842,974.7456
843,975.9045
844,977.0635
845,978.2224
846,979.3814
847,980.5403
848,981.6993
849,982.8582
850,984.0171
851,985.1761
852,986.3350
853,987.4939
854,988.6528
855,989.8117
856,990.9706
857,992.1295
858,993.2884
859,994.4473
860,995.6062
861,996.7650
862,997.9239
863,999.0828
864,1000.2416
865,1001.4005
866,1002.5593
867,1003.7182
868,1004.8770
869,1006.0359
870,1007.1947
871,1008.3535
872,1009.5123
873,1010.6711
874,1011.8299
875,1012.9887
876,1014.1475
877,1015.3063
878,1016.4651
879,1017.6239
880,1018.7827
881,1019.9415
882,1021.1002
883,1022.2590
884,1023.4177
885,1024.5765
886,1025.7352
887,1026.8940
888,1028.0527
889,1029.2114
890,1030.3702
891,1031.5289
892,1032.6876
893,1033.8463
894,1035.0050
895,1036.1637
896,1037.3224
897,1038.4811
898,1039.6398
899,1040.7984
900,1041.9571
901,1043.1158
902,1044.2744
903,1045.4331
904,1046.5917
905,1047.7504
906,1048.9090
907,1050.0676
908,1051.2263
909,1052.3849
910,1053.5435
911,1054.7021
912,1055.8607
913,1057.0193
914,1058.1779
915,1059.3365
916,1060.4951
917,1061.6537
918,1062.8122
919,1063.9708
920,1065.1294
921,1066.2879
922,1067.4465
923,1068.6050
924,1069.7636
925,1070.9221
926,1072.0806
927,1073.2391
928,1074.3977
929,1075.5562
930,1076.7147
931,1077.8732
932,1079.0317
933,1080.1902
934,1081.3486
935,1082.5071
936,1083.6656
937,1084.8241
938,1085.9825
939,1087.1410
940,1088.2994
941,1089.4579
942,1090.6163
943,1091.7747
944,1092.9331
945,1094.0916
946,1095.2500
947,1096.4084
948,1097.5668
949,1098.7252
950,1099.8836
951,1101.0420
952,1102.2003
953,1103.3587
954,1104.5171
955,1105.6754
956,1106.8338
957,1107.9921
958,1109.1505
959,1110.3088
960,1111.4671
961,1112.6255
962,1113.7838
963,1114.9421
964,1116.1004
965,1117.2587
966,1118.4170
967,1119.5753
968,1120.7336
969,1121.8918
970,1123.0501
971,1124.2084
972,1125.3666
973,1126.5249
974,1127.6831
975,1128.8414
976,1129.9996
977,1131.1578
978,1132.3161
979,1133.4743
980,1134.6325
981,1135.7907
982,1136.9489
983,1138.1071
984,1139.2653
985,1140.4234
986,1141.5816
987,1142.7398
988,1143.8979
989,1145.0561
990,1146.2142
991,1147.3724
992,1148.5305
993,1149.6886
994,1150.8467
995,1152.0049
996,1153.1630
997,1154.3211
998,1155.4792
999,1156.6372
1000,1157.7953
1001,1158.9534
1002,1160.1115
1003,1161.2695
1004,1162.4276
1005,1163.5856
1006,1164.7437
1007,1165.9017
1008,1167.0597
1009,1168.2178
1010,1169.3758
1011,1170.5338
1012,1171.6918
1013,1172.8498
1014,1174.0078
1015,1175.1658
1016,1176.3237
1017,1177.4817
1018,1178.6397
1019,1179.7976
1020,1180.9556
1021,1182.1135
1022,1183.2714
1023,1184.4294
1024,1185.5873
1025,1186.7452
1026,1187.9031
1027,1189.0610
1028,1190.2189
1029,1191.3768
1030,1192.5347
1031,1193.6926
1032,1194.8504
1033,1196.0083
1034,1197.1661
1035,1198.3240
1036,1199.4818
1037,1200.6397
1038,1201.7975
1039,1202.9553
1040,1204.1131
1041,1205.2709
1042,1206.4287
1043,1207.5865
1044,1208.7443
1045,1209.9021
1046,1211.0598
1047,1212.2176
1048,1213.3753
1049,1214.5331
1050,1215.6908
1051,1216.8486
1052,1218.0063
1053,1219.1640
1054,1220.3217
1055,1221.4794
1056,1222.6371
1057,1223.7948
1058,1224.9525
1059,1226.1102
1060,1227.2678
1061,1228.4255
1062,1229.5831
1063,1230.7408
1064,1231.8984
1065,1233.0560
1066,1234.2137
1067,1235.3713
1068,1236.5289
1069,1237.6865
1070,1238.8441
1071,1240.0017
1072,1241.1592
1073,1242.3168
1074,1243.4744
1075,1244.6319
1076,1245.7895
1077,1246.9470
1078,1248.1046
1079,1249.2621
1080,1250.4196
1081,1251.5771
1082,1252.7346
1083,1253.8921
1084,1255.0496
1085,1256.2071
1086,1257.3645
1087,1258.5220
1088,1259.6794
1089,1260.8369
1090,1261.9943
1091,1263.1518
1092,1264.3092
1093,1265.4666
1094,1266.6240
1095,1267.7814
1096,1268.9388
1097,1270.0962
1098,1271.2536
1099,1272.4109
1100,1273.5683
1101,1274.7256
1102,1275.8830
1103,1277.0403
1104,1278.1976
1105,1279.3550
1106,1280.5123
1107,1281.6696
1108,1282.8269
1109,1283.9842
1110,1285.1414
1111,1286.2987
1112,1287.4560
1113,1288.6132
1114,1289.7705
1115,1290.9277
1116,1292.0849
1117,1293.2421
1118,1294.3994
1119,1295.5566
1120,1296.7138
1121,1297.8709
1122,1299.0281
1123,1300.1853
1124,1301.3425
1125,1302.4996
1126,1303.6567
1127,1304.8139
1128,1305.9710
1129,1307.1281
1130,1308.2852
1131,1309.4423
1132,1310.5994
1133,1311.7565
1134,1312.9136
1135,1314.0707
1136,1315.2277
1137,1316.3848
1138,1317.5418
1139,1318.6988
1140,1319.8559
1141,1321.0129
1142,1322.1699
1143,1323.3269
1144,1324.4839
1145,1325.6408
1146,1326.7978
1147,1327.9548
1148,1329.1117
1149,1330.2687
1150,1331.4256
1151,1332.5825
1152,1333.7395
1153,1334.8964
1154,1336.0533
1155,1337.2101
1156,1338.3670
1157,1339.5239
1158,1340.6808
1159,1341.8376
1160,1342.9945
1161,1344.1513
1162,1345.3081
1163,1346.4649
1164,1347.6217
1165,1348.7785
1166,1349.9353
1167,1351.0921
1168,1352.2489
1169,1353.4056
1170,1354.5624
1171,1355.7191
1172,1356.8759
1173,1358.0326
1174,1359.1893
1175,1360.3460
1176,1361.5027
1177,1362.6594
1178,1363.8160
1179,1364.9727
1180,1366.1294
1181,1367.2860
1182,1368.4427
1183,1369.5993
1184,1370.7559
1185,1371.9125
1186,1373.0691
1187,1374.2257
1188,1375.3823
1189,1376.5388
1190,1377.6954
1191,1378.8519
1192,1380.0085
1193,1381.1650
1194,1382.3215
1195,1383.4780
1196,1384.6345
1197,1385.7910
1198,1386.9475
1199,1388.1040
1200,1389.2604
1201,1390.4169
1202,1391.5733
1203,1392.7298
1204,1393.8862
1205,1395.0426
1206,1396.1990
1207,1397.3554
1208,1398.5117
1209,1399.6681
1210,1400.8245
1211,1401.9808
1212,1403.1372
1213,1404.2935
1214,1405.4498
1215,1406.6061
1216,1407.7624
1217,1408.9187
1218,1410.0750
1219,1411.2312
1220,1412.3875
1221,1413.5437
1222,1414.7000
1223,1415.8562
1224,1417.0124
1225,1418.1686
1226,1419.3248
1227,1420.4810
1228,1421.6371
1229,1422.7933
1230,1423.9494
1231,1425.1056
1232,1426.2617
1233,1427.4178
1234,1428.5739
1235,1429.7300
1236,1430.8861
1237,1432.0422
1238,1433.1982
1239,1434.3543
1240,1435.5103
1241,1436.6663
1242,1437.8224
1243,1438.9784
1244,1440.1344
1245,1441.2903
1246,1442.4463
1247,1443.6023
1248,1444.7582
1249,1445.9142
1250,1447.0701
1251,1448.2260
1252,1449.3819
1253,1450.5378
1254,1451.6937
1255,1452.8496
1256,1454.0054
1257,1455.1613
1258,1456.3171
1259,1457.4729
1260,1458.6288
1261,1459.7846
1262,1460.9404
1263,1462.0961
1264,1463.2519
1265,1464.4077
1266,1465.5634
1267,1466.7191
1268,1467.8749
1269,1469.0306
1270,1470.1863
1271,1471.3420
1272,1472.4976
1273,1473.6533
1274,1474.8089
1275,1475.9646
1276,1477.1202
1277,1478.2758
1278,1479.4314
1279,1480.5870
1280,1481.7426
1281,1482.8982
1282,1484.0537
1283,1485.2093
1284,1486.3648
1285,1487.5203
1286,1488.6758
1287,1489.8313
1288,1490.9868
1289,1492.1423
1290,1493.2978
1291,1494.4532
1292,1495.6086
1293,1496.7641
1294,1497.9195
1295,1499.0749
1296,1500.2303
1297,1501.3856
1298,1502.5410
1299,1503.6963
1300,1504.8517
1301,1506.0070
1302,1507.1623
1303,1508.3176
1304,1509.4729
1305,1510.6282
1306,1511.7834
1307,1512.9387
1308,1514.0939
1309,1515.2491
1310,1516.4043
1311,1517.5595
1312,1518.7147
1313,1519.8699
1314,1521.0250
1315,1522.1802
1316,1523.3353
1317,1524.4904
1318,1525.6455
1319,1526.8006
1320,1527.9557
1321,1529.1108
1322,1530.2658
1323,1531.4209
1324,1532.5759
1325,1533.7309
1326,1534.8859
1327,1536.0409
1328,1537.1959
1329,1538.3508
1330,1539.5058
1331,1540.6607
1332,1541.8157
1333,1542.9706
1334,1544.1255
1335,1545.2803
1336,1546.4352
1337,1547.5901
1338,1548.7449
1339,1549.8997
1340,1551.0545
1341,1552.2093
1342,1553.3641
1343,1554.5189
1344,1555.6737
1345,1556.8284
1346,1557.9831
1347,1559.1379
1348,1560.2926
1349,1561.4472
1350,1562.6019
1351,1563.7566
1352,1564.9112
1353,1566.0659
1354,1567.2205
1355,1568.3751
1356,1569.5297
1357,1570.6843
1358,1571.8388
1359,1572.9934
1360,1574.1479
1361,1575.3024
1362,1576.4569
1363,1577.6114
1364,1578.7659
1365,1579.9204
1366,1581.0748
1367,1582.2293
1368,1583.3837
1369,1584.5381
1370,1585.6925
1371,1586.8469
1372,1588.0012
1373,1589.1556
1374,1590.3099
1375,1591.4642
1376,1592.6185
1377,1593.7728
1378,1594.9271
1379,1596.0814
1380,1597.2356
1381,1598.3898
1382,1599.5440
1383,1600.6982
1384,1601.8524
1385,1603.0066
1386,1604.1608
1387,1605.3149
1388,1606.4690
1389,1607.6231
1390,1608.7772
1391,1609.9313
1392,1611.0854
1393,1612.2394
1394,1613.3935
1395,1614.5475
1396,1615.7015
1397,1616.8555
1398,1618.0095
1399,1619.1634
1400,1620.3174
1401,1621.4713
1402,1622.6252
1403,1623.7791
1404,1624.9330
1405,1626.0868
1406,1627.2407
1407,1628.3945
1408,1629.5483
1409,1630.7022
1410,1631.8559
1411,1633.0097
1412,1634.1635
1413,1635.3172
1414,1636.4709
1415,1637.6246
1416,1638.7783
1417,1639.9320
1418,1641.0857
1419,1642.2393
1420,1643.3929
1421,1644.5466
1422,1645.7002
1423,1646.8537
1424,1648.0073
1425,1649.1608
1426,1650.3144
1427,1651.4679
1428,1652.6214
1429,1653.7749
1430,1654.9283
1431,1656.0818
1432,1657.2352
1433,1658.3886
1434,1659.5420
1435,1660.6954
1436,1661.8488
1437,1663.0022
1438,1664.1555
1439,1665.3088
1440,1666.4621
1441,1667.6154
1442,1668.7687
1443,1669.9219
1444,1671.0751
1445,1672.2284
1446,1673.3816
1447,1674.5347
1448,1675.6879
1449,1676.8411
1450,1677.9942
1451,1679.1473
1452,1680.3004
1453,1681.4535
1454,1682.6065
1455,1683.7596
1456,1684.9126
1457,1686.0656
1458,1687.2186
1459,1688.3716
1460,1689.5246
1461,1690.6775
1462,1691.8304
1463,1692.9833
1464,1694.1362
1465,1695.2891
1466,1696.4420
1467,1697.5948
1468,1698.7476
1469,1699.9004
1470,1701.0532
1471,1702.2060
1472,1703.3587
1473,1704.5115
1474,1705.6642
1475,1706.8169
1476,1707.9695
1477,1709.1222
1478,1710.2748
1479,1711.4275
1480,1712.5801
1481,1713.7327
1482,1714.8852
1483,1716.0378
1484,1717.1903
1485,1718.3428
1486,1719.4953
1487,1720.6478
1488,1721.8003
1489,1722.9527
1490,1724.1051
1491,1725.2575
1492,1726.4099
1493,1727.5623
1494,1728.7146
1495,1729.8670
1496,1731.0193
1497,1732.1716
1498,1733.3238
1499,1734.4761
1500,1735.6283
1501,1736.7806
1502,1737.9328
1503,1739.0849
1504,1740.2371
1505,1741.3892
1506,1742.5414
1507,1743.6935
1508,1744.8456
1509,1745.9976
1510,1747.1497
1511,1748.3017
1512,1749.4537
1513,1750.6057
1514,1751.7577
1515,1752.9096
1516,1754.0616
1517,1755.2135
1518,1756.3654
1519,1757.5172
1520,1758.6691
1521,1759.8209
1522,1760.9727
1523,1762.1245
1524,1763.2763
1525,1764.4281
1526,1765.5798
1527,1766.7315
1528,1767.8832
1529,1769.0349
1530,1770.1865
1531,1771.3382
1532,1772.4898
1533,1773.6414
1534,1774.7930
1535,1775.9445
1536,1777.0961
1537,1778.2476
1538,1779.3991
1539,1780.5506
1540,1781.7020
1541,1782.8535
1542,1784.0049
1543,1785.1563
1544,1786.3076
1545,1787.4590
1546,1788.6103
1547,1789.7616
1548,1790.9129
1549,1792.0642
1550,1793.2155
1551,1794.3667
1552,1795.5179
1553,1796.6691
1554,1797.8203
1555,1798.9714
1556,1800.1225
1557,1801.2736
1558,1802.4247
1559,1803.5758
1560,1804.7268
1561,1805.8779
1562,1807.0289
1563,1808.1798
1564,1809.3308
1565,1810.4817
1566,1811.6327
1567,1812.7836
1568,1813.9344
1569,1815.0853
1570,1816.2361
1571,1817.3869
1572,1818.5377
1573,1819.6885
1574,1820.8392
1575,1821.9899
1576,1823.1406
1577,1824.2913
1578,1825.4420
1579,1826.5926
1580,1827.7432
1581,1828.8938
1582,1830.0444
1583,1831.1950
1584,1832.3455
1585,1833.4960
1586,1834.6465
1587,1835.7969
1588,1836.9474
1589,1838.0978
1590,1839.2482
1591,1840.3986
1592,1841.5489
1593,1842.6992
1594,1843.8495
1595,1844.9998
1596,1846.1501
1597,1847.3003
1598,1848.4505
1599,1849.6007
1600,1850.7509
1601,1851.9011
1602,1853.0512
1603,1854.2013
1604,1855.3514
1605,1856.5014
1606,1857.6515
1607,1858.8015
1608,1859.9515
1609,1861.1014
1610,1862.2514
1611,1863.4013
1612,1864.5512
1613,1865.7011
1614,1866.8509
1615,1868.0007
1616,1869.1505
1617,1870.3003
1618,1871.4501
1619,1872.5998
1620,1873.7495
1621,1874.8992
1622,1876.0489
1623,1877.1985
1624,1878.3481
1625,1879.4977
1626,1880.6473
1627,1881.7968
1628,1882.9464
1629,1884.0959
1630,1885.2453
1631,1886.3948
1632,1887.5442
1633,1888.6936
1634,1889.8430
1635,1890.9924
1636,1892.1417
1637,1893.2910
1638,1894.4403
1639,1895.5895
1640,1896.7388
1641,1897.8880
1642,1899.0372
1643,1900.1863
1644,1901.3355
1645,1902.4846
1646,1903.6337
1647,1904.7827
1648,1905.9318
1649,1907.0808
1650,1908.2298
1651,1909.3787
1652,1910.5277
1653,1911.6766
1654,1912.8255
1655,1913.9743
1656,1915.1232
1657,1916.2720
1658,1917.4208
1659,1918.5696
1660,1919.7183
1661,1920.8670
1662,1922.0157
1663,1923.1644
1664,1924.3130
1665,1925.4616
1666,1926.6102
1667,1927.7588
1668,1928.9073
1669,1930.0558
1670,1931.2043
1671,1932.3528
1672,1933.5012
1673,1934.6496
1674,1935.7980
1675,1936.9464
1676,1938.0947
1677,1939.2430
1678,1940.3913
1679,1941.5395
1680,1942.6878
1681,1943.8360
1682,1944.9841
1683,1946.1323
1684,1947.2804
1685,1948.4285
1686,1949.5766
1687,1950.7246
1688,1951.8727
1689,1953.0206
1690,1954.1686
1691,1955.3166
1692,1956.4645
1693,1957.6124
1694,1958.7602
1695,1959.9081
1696,1961.0559
1697,1962.2036
1698,1963.3514
1699,1964.4991
1700,1965.6468
1701,1966.7945
1702,1967.9421
1703,1969.0898
1704,1970.2374
1705,1971.3849
1706,1972.5325
1707,1973.6800
1708,1974.8275
1709,1975.9749
1710,1977.1223
1711,1978.2697
1712,1979.4171
1713,1980.5645
1714,1981.7118
1715,1982.8591
1716,1984.0063
1717,1985.1536
1718,1986.3008
1719,1987.4480
1720,1988.5951
1721,1989.7423
1722,1990.8894
1723,1992.0364
1724,1993.1835
1725,1994.3305
1726,1995.4775
1727,1996.6244
1728,1997.7714
1729,1998.9183
1730,2000.0651
1731,2001.2120
1732,2002.3588
1733,2003.5056
1734,2004.6523
1735,2005.7991
1736,2006.9458
1737,2008.0924
1738,2009.2391
1739,2010.3857
1740,2011.5323
1741,2012.6789
1742,2013.8254
1743,2014.9719
1744,2016.1184
1745,2017.2648
1746,2018.4112
1747,2019.5576
1748,2020.7040
1749,2021.8503
1750,2022.9966
1751,2024.1429
1752,2025.2891
1753,2026.4353
1754,2027.5815
1755,2028.7277
1756,2029.8738
1757,2031.0199
1758,2032.1659
1759,2033.3120
